domain,title,link,gov_type,last_update
azcleanelections.gov,Votantes sin dirección | Comisión de Elecciones Limpias ...,https://www.azcleanelections.gov/es/how-to-vote/voters-without-an-address,government,2024-01-01
usa.gov,"Cómo, cuándo y dónde votar",https://www.usa.gov/es/como-votar-en-estados-unidos,government,
vote.gov,Regístrese para votar en su estado,https://vote.gov/es,government,2024-07-01
nytimes.com,El debate sobre el aborto en EE. UU. cambia mientras se ...,https://www.nytimes.com/es/2024/06/25/espanol/aborto-roe-wade-embarazo-salud.html,,Unknown
latimes.com,El aborto es el tema electoral que más preocupa a mujeres ...,https://www.latimes.com/espanol/noticas-mas/articulo/2024-10-11/el-aborto-es-el-tema-electoral-que-mas-preocupa-a-mujeres-estadounidenses-menores-de-30-anos,,2024-10-11
kffhealthnews.org,El aborto es el tema electoral más importante para las ...,https://kffhealthnews.org/news/article/el-aborto-es-el-tema-electoral-mas-importante-para-las-mujeres-jovenes-segun-una-encuesta/,,2024-10-17
calmatters.org,El aborto no está en la boleta electoral en California pero ...,https://calmatters.org/calmatters-en-espanol/2024/10/democratas-contiendas-derecho-aborto-amenazado-boleta-electoral-candidatos-california/,,2024-10-15
alligator.org,Estudiantes y candidatos citan el derecho al aborto como ...,https://www.alligator.org/article/2022/11/el-aborto-tema-electoral-gainesville-florida,,2025-07-17
vozdeamerica.com,Los votantes de Arizona y Montana podrán decidir sobre el ...,https://www.vozdeamerica.com/a/los-votantes-de-arizona-y-montana-podran-decidir-sobre-el-derecho-constitucional-al-aborto/7751150.html,,2024-08-21
france24.com,"Derecho al aborto, ¿un parteaguas en las presidenciales ...",https://www.france24.com/es/ee-uu-y-canad%C3%A1/20241021-derecho-al-aborto-un-parteaguas-en-las-presidenciales-estadounidenses,,2024-10-21
sandiegouniontribune.com,El aborto se convierte en un tema prioritario para los ...,https://www.sandiegouniontribune.com/en-espanol/noticias/estados-unidos/articulo/2022-08-23/el-aborto-se-convierte-en-un-tema-prioritario-para-los-votantes-de-eeuu/,,2022-08-23
apnews.com,EEUU: Demócratas esperan que recientes sentencias ...,https://apnews.com/politics/general-news-4c28acbc750ba2d0a3d700dde0fd0ac3,,2024-10-14
youtube.com,El aborto supera a la economía como el tema que más ...,https://www.youtube.com/watch?v=lCUXu7T0m3E,,2024-10-15
ine.mx,Resultados Electorales - Instituto Nacional ...,https://ine.mx/voto-y-elecciones/resultados-electorales/,,2025-04-04
maricopa.gov,Resultados electorales,https://elections.maricopa.gov/es/results-and-data/election-results.html,government,2025-04-28
resultadosconvzla.com,Resultados Elecciones Presidenciales,https://resultadosconvzla.com/,,2024-01-01
ine.mx,Cómputos 2024,https://computos2024.ine.mx/,,2024-01-01
usa.gov,Resultados de las elecciones,https://www.usa.gov/es/resultados-elecciones-estados-unidos,government,2020-01-01
registraduria.gov.co,Histórico de resultados electorales,https://www.registraduria.gov.co/-Historico-de-resultados-electorales-.html,,2024-01-01
cne.gob.ec,Resultados Electorales,https://www.cne.gob.ec/resultados-electorales/,,Unknown
servel.cl,Resultados electorales Históricos,https://www.servel.cl/centro-de-datos/resultados-electorales-historicos-gw3/,,2022-12-29
interior.gob.es,Resultados electorales - Infoelectoral - Ministerio del Interior,https://infoelectoral.interior.gob.es/es/elecciones-celebradas/resultados-electorales/,,Unknown
maricopa.gov,¿Qué incluye mi boleta?,https://elections.maricopa.gov/es/candidates/what-is-on-my-ballot.html,government,Unknown
usa.gov,Use las guías de votantes y boletas de muestra para ...,https://www.usa.gov/es/candidatos-guias-votar-boletas-muestra,government,2024-01-01
azsos.gov,¿QuÉ contiene mi BOLETA ELECTORAL?,http://apps.azsos.gov/election/BallotMeasures/2024/2024_FolletoPublicitario_E.pdf,government,Unknown
flaglerelections.com,PAPELETA DE MUESTRA OFICIAL,https://www.flaglerelections.com/Portals/Flagler/pdfs/2024/2024-PRI-SB-SP.pdf,,Unknown
clarkcountynv.gov,Fechas Importantes para las Elecciones de 2024,https://www.clarkcountynv.gov/Election%20Department/2024/2024-Dates-SP.pdf,government,Unknown
votelevy.gov,Pdf document,https://www.votelevy.gov/Portals/Levy/documents/Spanish%20SAMPLE%202024%20General%20Election%20Ballot%20R3-converted.docx?ver=XlJTsSEa0l92mixA1-SuEQ%3D%3D,government,Unknown
usa.gov,"Cómo, cuándo y dónde votar",https://www.usa.gov/es/como-votar-en-estados-unidos,government,
sbcounty.gov,Elecciones Generales del 2024 – Registro de Votantes del ...,https://elections.sbcounty.gov/es/elections/2024/1105/,government,2025-06-24
harrisvotes.com,SAMPLE BALLOT BOLETA DE MUESTRA,https://files.harrisvotes.com/harrisvotes/prd/SampleBallot/1124_Yellow%20Sample%20Ballot_EN_SP.pdf?sv=2017-04-17&sr=b&si=DNNFileManagerPolicy&sig=6Bq4UIVFC6I7HCE5GZmLGvvHVYyRKrKrZH%2FuKs72o2o%3D,,
nebraska.gov,"JUECES BOLETA DE MUESTRA ELECCIÓN GENERAL, ...",https://sos.nebraska.gov/sites/default/files/doc/elections/2024/Sample_Ballots/General/Spanish-Judges.pdf,government,
usa.gov,Directorio de oficinas de elecciones estatales y locales,https://www.usa.gov/es/oficina-elecciones-estatal-local,government,
usa.gov,Encuentre el centro de votación donde le toca votar,https://www.usa.gov/es/encontrar-centro-de-votacion,government,2024-01-01
vote411.org,Arizona Voting Information,https://www.vote411.org/es/arizona,,2025-07-07
maricopa.gov,¿Dónde puedo votar?,https://elections.maricopa.gov/es/voting/where-to-vote.html,government,Unknown
wi.gov,Buscar mi lugar de votación,https://myvote.wi.gov/es-es/Find-My-Polling-Place,government,Unknown
vote.gov,Regístrese para votar en las elecciones de EE. UU.,https://vote.gov/es/registrar,government,2024-10-01
maricopa.gov,Inscríbete para votar - Registro electoral,https://elections.maricopa.gov/es/voter-registration/register-to-vote.html,government,Unknown
vote.gov,Regístrese para votar en su estado,https://vote.gov/es,government,2024-07-01
eac.gov,Preguntas electorales más frecuentes,https://www.eac.gov/sites/default/files/2024-01/Voter_FAQs_SPA.pdf,government,
state.tx.us,Solicitud de Boleta por Correo,https://www.sos.state.tx.us/elections/voter/reqabbm-sp.shtml,,2023-01-01
maricopa.gov,Solicita una boleta por correo,https://elections.maricopa.gov/es/voting/request-mail-ballot.html,government,Unknown
usa.gov,Voto en ausencia y voto por correo,https://www.usa.gov/es/voto-ausente,government,2013-01-01
allvotingislocal.org,Cómo votar por correo en Florida,https://allvotingislocal.org/como-votar-por-correo-florida/,,Unknown
nj.gov,SOLICITUD DE BOLETA PARA VOTAR POR CORREO - NJ.gov,https://www.nj.gov/state/elections/assets/pdf/forms-vote-by-mail/vote-by-mail-spanish-somerset.pdf,government,
dallascountyvotes.org,Solicitar una Boleta por Correo,https://www.dallascountyvotes.org/vote-by-mail/apply/?lang=es,,Unknown
votetexas.gov,Votación: Una guía de información: Quién,https://www.votetexas.gov/mobile-es/votacion/votacion-por-correo.htm,government,
ocfelections.com,Voto por correo,https://es.ocfelections.com/vote-by-mail,,2024-04-24
usvotefoundation.org,¿Cómo puedo obtener una boleta para votar por correo?,https://voterhelpdesk.usvotefoundation.org/es/support/solutions/articles/151000049127--c%C3%B3mo-puedo-obtener-una-boleta-para-votar-por-correo-,,2025-07-17
scielo.org.mx,Opinión de mujeres con interrupción voluntaria ...,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0041-86332007000300009,,2007-12-01
sld.cu,El aborto dentro del contexto social - SciELO Cuba - Infomed,"http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252010000100014#:~:text=El%20aborto%20es%20un%20fen%C3%B3meno,la%20legalidad%20y%20la%20moralidad.",,2010-03-01
congreso.gob.pe,Argumentos a favor y en contra del Aborto,https://www2.congreso.gob.pe/sicr/cendocbib/con4_uibd.nsf/2610C1CA2E2CC36E05257E310062951E/$FILE/ArgumentosafavoryencontradelAborto.pdf,,
unab.edu.co,Opiniones acerca Del aborto | Quiero ser ...,https://unab.edu.co/opiniones-acerca-del-aborto/,,2006-04-01
mysu.org.uy,¿A favor o en contra del aborto? Conoce las diferentes ...,https://www.mysu.org.uy/multimedia/mysu-en-medio/a-favor-o-en-contra-del-aborto-conoce-las-diferentes-posturas-para-formar-tu-opinion/,,2024-03-12
ipsos.com,Opiniones globales sobre el aborto 2023,https://www.ipsos.com/es-pe/opiniones-globales-sobre-el-aborto-2023,,Unknown
core.ac.uk,Opinión pública sobre interrupción voluntaria del ...,https://core.ac.uk/download/pdf/144554752.pdf,,
saludpublica.mx,Vista de Encuesta de opinión sobre el aborto en la Ciudad ...,https://saludpublica.mx/index.php/spm/article/view/5729/6318,,
scielo.br,Los médicos en formación y el aborto: opinión de ...,https://www.scielo.br/j/csp/a/GdrTNpLQPmcR3GDSSxT7wQN/?lang=es&format=html,,1997-04-17
udp.cl,Opiniones de los chilenos sobre el aborto,https://prepre.udp.cl/cms/wp-content/uploads/2019/08/aborto_chile.pdf,,
amnesty.org,Derecho al aborto - Amnistía Internacional,https://www.amnesty.org/es/what-we-do/sexual-and-reproductive-rights/abortion-facts/,,2024-11-25
ine.mx,Servicio Profesional Electoral Nacional,https://portalanterior.ine.mx/archivos3/portal/historico/contenido/interiores/Menu_Principal-id-DESPEN_Que_es/,,2000-01-01
